credit_airline,flown_airline,flight_type,fare_code,rdm_base_mult,class_rdm_mult,total_rdm_mult,eqm_mult,eqd_mult,elite_bonus
DL,AM,STANDARD,J, 1.00 , 1.00 , 2.00 , 2.00 , 0.40 ,1
DL,AM,STANDARD,C, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AM,STANDARD,D, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AM,STANDARD,I, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AM,STANDARD,W, 1.00 , 0.25 , 1.25 , 1.50 , 0.25 ,1
DL,AM,STANDARD,Y, 1.00 , 0.25 , 1.25 , 1.50 , 0.25 ,1
DL,AM,STANDARD,B, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,M, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,K, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,H, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,Q, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,L, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,T, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,U, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
DL,AM,STANDARD,E, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AM,STANDARD,N, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AM,STANDARD,R, 0.50 ,, 0.50 , 1.00 , 0.10 ,1
DL,AM,STANDARD,V, 0.25 ,, 0.25 , 1.00 , 0.05 ,1
DL,AF,EX-EUROPRE INTL,P, 1.00 , 2.00 , 3.00 , 2.00 , 0.60 ,1
DL,AF,EX-EUROPRE INTL,F, 1.00 , 2.00 , 3.00 , 2.00 , 0.60 ,1
DL,AF,EX-EUROPRE INTL,J, 1.00 , 1.00 , 2.00 , 2.00 , 0.40 ,1
DL,AF,EX-EUROPRE INTL,C, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AF,EX-EUROPRE INTL,D, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AF,EX-EUROPRE INTL,I, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AF,EX-EUROPRE INTL,Z, 1.00 , 1.00 , 2.00 , 1.50 , 0.40 ,1
DL,AF,EX-EUROPRE INTL,O, 1.00 ,, 1.00 , 1.00 , 0.20 ,1
